casa,familia,mercado,lado,match_id,cuota,prob_cuota,prob_casa,consenso,desviacion,valor
Goldenbet,Asian Handicap,Asian Handicap -0.75/+0.75,away,1321404650,1.31,0.7633587786259541,0.7212765957446808,0.726681,-0.005404404255319184,-0.04804788999999987
Freshbet,Asian Handicap,Asian Handicap -0.75/+0.75,home,1321404650,3.39,0.2949852507374631,0.27872340425531916,0.273319,0.005404404255319184,-0.07344859000000004
Freshbet,Asian Handicap,Asian Handicap -0.75/+0.75,away,1321404650,1.31,0.7633587786259541,0.7212765957446808,0.726681,-0.005404404255319184,-0.04804788999999987
Mystake,Asian Handicap,Asian Handicap -0.75/+0.75,home,1321404650,3.39,0.2949852507374631,0.27872340425531916,0.273319,0.005404404255319184,-0.07344859000000004
Mystake,Asian Handicap,Asian Handicap -0.75/+0.75,away,1321404650,1.31,0.7633587786259541,0.7212765957446808,0.726681,-0.005404404255319184,-0.04804788999999987
Vbet Sport,Asian Handicap,Asian Handicap -0.75/+0.75,home,1321404650,3.5,0.2857142857142857,0.2677824267782427,0.27350149999999995,-0.005719073221757243,-0.04274475000000011
Vbet Sport,Asian Handicap,Asian Handicap -0.75/+0.75,away,1321404650,1.28,0.78125,0.7322175732217574,0.7264984999999999,0.005719073221757465,-0.07008192000000013
Ivibet,Asian Handicap,Asian Handicap -0.75/+0.75,home,1321404650,3.55,0.28169014084507044,0.27104722792607805,0.273319,-0.0022717720739219294,-0.029717550000000093
Ivibet,Asian Handicap,Asian Handicap -0.75/+0.75,away,1321404650,1.32,0.7575757575757576,0.728952772073922,0.726681,0.0022717720739219294,-0.040781079999999914
22Bet,Asian Handicap,Asian Handicap -0.25/+0.25,home,1321404650,2.46,0.4065040650406504,0.385,0.382716,0.0022840000000000082,-0.058518639999999955
22Bet,Asian Handicap,Asian Handicap -0.25/+0.25,away,1321404650,1.54,0.6493506493506493,0.615,0.617284,-0.0022840000000000638,-0.04938263999999992
Powbet,Asian Handicap,Asian Handicap -0.25/+0.25,home,1321404650,2.5,0.4,0.37810945273631846,0.382716,-0.0046065472636815374,-0.04321000000000008
Powbet,Asian Handicap,Asian Handicap -0.25/+0.25,away,1321404650,1.52,0.6578947368421053,0.6218905472636816,0.617284,0.004606547263681593,-0.06172831999999995
