config,n_extra,mercado,n,sigmas,acierto_modelo,acierto_mercado,acierto_dif
base+elo+h2h+rotacion,2,mas_4_5_tarjetas,201,-1.1338219675836105,0.6766169154228856,0.6467661691542289,0.02985074626865669
base+elo+h2h+calidad_plantilla,2,resultado,212,-2.275487502204286,0.46226415094339623,0.5141509433962265,-0.05188679245283023
base+elo+h2h+calidad_plantilla,2,mas_2_5,212,-1.0102424067797275,0.6273584905660378,0.6556603773584906,-0.028301886792452824
base+elo+h2h+calidad_plantilla,2,ambos_marcan,212,-1.3246972040375997,0.5613207547169812,0.5849056603773585,-0.023584905660377298
base+elo+h2h+calidad_plantilla,2,mas_9_5_corners,212,-1.337263819267304,0.5613207547169812,0.5849056603773585,-0.023584905660377298
base+elo+h2h+calidad_plantilla,2,mas_4_5_tarjetas,201,-1.8736600860802357,0.6567164179104478,0.6467661691542289,0.00995024875621886
base+elo+h2h_profundo+tabla,2,resultado,212,-2.7624217449597097,0.49528301886792453,0.5141509433962265,-0.018867924528301938
base+elo+h2h_profundo+tabla,2,mas_2_5,212,-1.2414250978031784,0.6179245283018868,0.6556603773584906,-0.037735849056603765
base+elo+h2h_profundo+tabla,2,ambos_marcan,212,-1.9291610434974062,0.5283018867924528,0.5849056603773585,-0.05660377358490565
base+elo+h2h_profundo+tabla,2,mas_9_5_corners,212,-1.0165427157704687,0.5518867924528302,0.5849056603773585,-0.03301886792452824
base+elo+h2h_profundo+tabla,2,mas_4_5_tarjetas,201,-1.5747800571689288,0.6666666666666666,0.6467661691542289,0.01990049751243772
base+elo+h2h_profundo+boxscore,2,resultado,212,-3.1582831283181063,0.46226415094339623,0.5141509433962265,-0.05188679245283023
base+elo+h2h_profundo+boxscore,2,mas_2_5,212,-1.4631932996761379,0.6037735849056604,0.6556603773584906,-0.05188679245283023
base+elo+h2h_profundo+boxscore,2,ambos_marcan,212,-2.2918393406904523,0.5141509433962265,0.5849056603773585,-0.070754716981132
base+elo+h2h_profundo+boxscore,2,mas_9_5_corners,212,-1.260413501985954,0.5613207547169812,0.5849056603773585,-0.023584905660377298
base+elo+h2h_profundo+boxscore,2,mas_4_5_tarjetas,201,-2.071628773639604,0.6567164179104478,0.6467661691542289,0.00995024875621886
base+elo+h2h_profundo+arbitro,2,resultado,212,-2.9974399442584576,0.46226415094339623,0.5141509433962265,-0.05188679245283023
base+elo+h2h_profundo+arbitro,2,mas_2_5,212,-0.8722830167421131,0.5990566037735849,0.6556603773584906,-0.05660377358490565
base+elo+h2h_profundo+arbitro,2,ambos_marcan,212,-1.6954898749837684,0.5471698113207547,0.5849056603773585,-0.037735849056603765
base+elo+h2h_profundo+arbitro,2,mas_9_5_corners,212,-1.313436028709602,0.5660377358490566,0.5849056603773585,-0.018867924528301883
base+elo+h2h_profundo+arbitro,2,mas_4_5_tarjetas,201,-1.6480244162236248,0.6766169154228856,0.6467661691542289,0.02985074626865669
base+elo+h2h_profundo+clima,2,resultado,199,-2.6840003428995804,0.4723618090452261,0.5125628140703518,-0.040201005025125636
base+elo+h2h_profundo+clima,2,mas_2_5,199,-0.8320926534386149,0.6231155778894473,0.6432160804020101,-0.02010050251256279
base+elo+h2h_profundo+clima,2,ambos_marcan,199,-2.211187631985064,0.5829145728643216,0.592964824120603,-0.01005025125628145
base+elo+h2h_profundo+clima,2,mas_9_5_corners,199,-1.5277682798213537,0.5326633165829145,0.5829145728643216,-0.05025125628140703
base+elo+h2h_profundo+clima,2,mas_4_5_tarjetas,192,-1.3909282432781007,0.6875,0.6458333333333334,0.04166666666666663
base+elo+h2h_profundo+rotacion,2,resultado,212,-2.5852529921402656,0.4811320754716981,0.5141509433962265,-0.03301886792452835
base+elo+h2h_profundo+rotacion,2,mas_2_5,212,-1.1417406540341155,0.5754716981132075,0.6556603773584906,-0.08018867924528306
base+elo+h2h_profundo+rotacion,2,ambos_marcan,212,-2.2205172934001656,0.5235849056603774,0.5849056603773585,-0.06132075471698106
base+elo+h2h_profundo+rotacion,2,mas_9_5_corners,212,-1.486245355495781,0.5330188679245284,0.5849056603773585,-0.05188679245283012
